"","gene.symbol","organ.specificity.list"
"411","MFSD8","Brain/Cognition;Eye"
"412","ERCC2","Skin;Skeleton;Spinal cord/Peripheral nerves;Brain/Cognition"
"413","PDSS2","Kidney Renal Tract;Brain/Cognition"
"414","GUSB","Face;Skeleton;Endocrine/Metabolic;Brain/Cognition"
"415","HSD17B10","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"416","RIT1","Face;Skeleton"
"417","ZFP57","Endocrine/Metabolic"
"418","ZMPSTE24","Skin;Face;Skeleton;Endocrine/Metabolic"
"419","ERCC4","Bone Marrow/Immune;Skin;Skeleton"
"420","TAC3","Endocrine/Metabolic;Genitalia"
"421","RTEL1","Bone Marrow/Immune;Brain/Cognition"
"422","DARS2","Endocrine/Metabolic;Brain/Cognition"
"423","MLYCD","Endocrine/Metabolic;Brain/Cognition"
"424","KIT","GI tract;Cancer predisposition"
"425","RBM28","Skin;Endocrine/Metabolic;Brain/Cognition"
"426","HGSNAT","Endocrine/Metabolic;Brain/Cognition"
"427","GCDH","Endocrine/Metabolic;Brain/Cognition"
"428","PIGL","Multisystem;Brain/Cognition;Eye"
"429","ZFPM2","GI tract;Heart/Cardiovasculature/Lymphatic,GI tract;Heart/Cardiovasculature/Lymphatic"
"430","DNAAF4","Respiratory tract"
"431","AMPD2","Brain/Cognition"
"432","ABCC9","Skin;Heart/Cardiovasculature/Lymphatic"
"433","CLPP","Ear;Genitalia"
"434","KDM6A","Kidney Renal Tract;Face;Skeleton;Brain/Cognition"
"435","ASPM","Brain/Cognition"
"436","SHOX","Skeleton,Skeleton"
"437","GDF6","Skeleton;Eye"
"438","TMEM67","Kidney Renal Tract;Skeleton;Brain/Cognition;GI tract,Kidney Renal Tract;Skeleton;Brain/Cognition;GI tract"
"439","ZIC3","Skeleton;Heart/Cardiovasculature/Lymphatic,Skeleton;Heart/Cardiovasculature/Lymphatic"
"440","ACVR2B","GI tract;Heart/Cardiovasculature/Lymphatic"
"441","KCNC1","Brain/Cognition"
"442","CHRNB2","Brain/Cognition"
"443","MMADHC","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"444","GALK1","Endocrine/Metabolic;Eye"
"445","NYX","Eye"
"446","CRB2","Kidney Renal Tract;Brain/Cognition"
"447","PC","Endocrine/Metabolic;Brain/Cognition"
"448","TMEM237","Brain/Cognition"
"449","CCDC78","Musculature"
"450","GATA4","Heart/Cardiovasculature/Lymphatic"
"451","RXYLT1","Brain/Cognition;Genitalia"
"452","PITX2","Eye: Cornea;Eye;GI tract;Teeth and Dentition,Eye;GI tract;Teeth and Dentition"
"453","GABRB3","Brain/Cognition"
"454","CRYAB","Musculature;Eye,Musculature;Eye"
"455","FOXF1","Respiratory tract;Genitalia;Heart/Cardiovasculature/Lymphatic"
"456","PEX26","Skeleton;Eye;GI tract;Musculature;Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;Ear"
"457","SURF1","Endocrine/Metabolic;Brain/Cognition"
"458","KIF11","Brain/Cognition;Eye;Heart/Cardiovasculature/Lymphatic"
"459","CTCF","Brain/Cognition"
"460","EXT2","Skeleton"
"461","TSEN34","Brain/Cognition"
"462","ABCD4","Endocrine/Metabolic;Brain/Cognition"
"463","OPHN1","Face;Brain/Cognition"
"464","ZDHHC15","Brain/Cognition"
"465","ACADM","Endocrine/Metabolic;Brain/Cognition"
"466","SMAD3","Skeleton;Heart/Cardiovasculature/Lymphatic"
"467","TACR3","Endocrine/Metabolic;Genitalia"
"468","DNAAF11","Respiratory tract"
"469","CASK","Face;Brain/Cognition;GI tract,Face;Brain/Cognition;GI tract,Face;Brain/Cognition;GI tract"
"470","ETFDH","Endocrine/Metabolic;Brain/Cognition"
"471","TFAP2B","Face;Skeleton;Eye;Heart/Cardiovasculature/Lymphatic"
"472","DDX3X","Brain/Cognition,Liver;Brain/Cognition"
"473","AR","Endocrine/Metabolic;Brain/Cognition;Genitalia,Endocrine/Metabolic;Brain/Cognition;Genitalia"
"474","TRPV3","Skin"
"475","GRHL3","Face;GI tract"
"476","IRF6","Face;Skeleton,Face;Skeleton"
"477","ARFGEF2","Brain/Cognition"
"478","HYLS1","Face;Skeleton;Brain/Cognition"
"479","SACS","Brain/Cognition"
"480","BANF1","Skin;Skeleton;Endocrine/Metabolic;Heart/Cardiovasculature/Lymphatic"
"481","NR1I3","Brain/Cognition"
"482","ZDHHC9","Brain/Cognition"
"483","FOXC1","Eye"
"484","KCNMA1","Brain/Cognition,Unknown"
"485","NDUFV1","Endocrine/Metabolic;Brain/Cognition"
"486","DOLK","Endocrine/Metabolic;Brain/Cognition"
"487","IFT122","Eye: Cornea;Skin;Face;Skeleton;Eye: Physiology;Eye: Lens;Eye"
"488","SLC6A5","Brain/Cognition"
"489","WDR19","Kidney Renal Tract;Skeleton,Kidney Renal Tract;Skeleton"
"490","CEP152","Face;Skeleton;Brain/Cognition"
"491","DSPP","Ear;Teeth and Dentition,Ear;Teeth and Dentition"
"492","CLCN7","Skeleton"
"493","OTOGL","Ear"
"494","PTHLH","Skeleton,Skeleton"
"495","MAFB","Skeleton,Eye;Ear"
"496","MTRFR","Musculature;Peripheral nerves;Endocrine/Metabolic;GI tract;Brain/Cognition;Eye: Optic nerve"
"497","PKHD1","Kidney Renal Tract"
"498","DCX","Brain/Cognition,Brain/Cognition"
"499","FAM111A","Eye: Cornea;Eye: Retina;Skeleton;Eye: Physiology;Endocrine;Endocrine/Metabolic;Eye: Structure;Brain/Cognition;Eye: Lens;Teeth and Dentition"
"500","MPI","Endocrine/Metabolic;Brain/Cognition"
"501","POC1B","Eye"
"502","MCCC2","Endocrine/Metabolic;Brain/Cognition"
"503","CRX","Eye: Retina;Eye"
"504","CRYAA","Eye,Eye"
"505","GJC2","Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"506","NRXN2","Brain/Cognition"
"507","JAGN1","Bone Marrow/Immune"
"508","PMM2","Skeleton;GI tract;Musculature;Skin;Kidney Renal Tract;Face;Endocrine/Metabolic;Brain/Cognition;Genitalia;Heart/Cardiovasculature/Lymphatic"
"509","SOX10","Skin;Face;Spinal cord/Peripheral nerves;Eye;Ear,Skin;Face;Spinal cord/Peripheral nerves;Ear,Spinal cord/Peripheral nerves;Eye;GI tract;Skin;Face;Brain/Cognition;Hair/Nails;Ear;Genitalia"
"510","UMPS","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"511","PEX19","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;Eye;GI tract;Ear"
"512","SLC4A4","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;Eye"
"513","FOXE1","Face"
"514","BLOC1S6","Bone Marrow/Immune;Skin;Eye: Retina"
"515","LDB3","Musculature;Heart/Cardiovasculature/Lymphatic"
"516","DSG1","Bone Marrow/Immune;Skin;Endocrine/Metabolic"
"517","SPTAN1","Brain/Cognition"
"518","ABCB11","GI tract"
"519","GNAO1","Brain/Cognition"
"520","ALAD","Endocrine/Metabolic"
"521","LEMD3","Skeleton"
"522","FLVCR1","Brain/Cognition;Eye"
"523","TMEM216","Brain/Cognition"
"524","THRA","Endocrine;Brain/Cognition"
"525","CLCNKB","Kidney Renal Tract;Endocrine/Metabolic"
"526","BFSP2","Eye"
"527","TUBGCP6","Brain/Cognition;Eye"
"528","RRAS","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"529","NECTIN4","Skin;Skeleton"
"530","FRMD7","Eye;Brain/Cognition"
"531","GLUL","Endocrine/Metabolic;Brain/Cognition"
"532","ORC4","Skeleton;Brain/Cognition;Ear"
"533","COLEC11","Face;Skeleton;Brain/Cognition"
"534","NEDD4L","Face;Multisystem;Brain/Cognition"
"535","ZIC2","Brain/Cognition"
"536","GRIN2A","Brain/Cognition,Unknown"
"537","FMR1","Brain/Cognition,Brain/Cognition,Brain/Cognition"
"538","TBC1D24","Skeleton;Brain/Cognition;Ear,Skeleton;Brain/Cognition;Ear"
"539","NFIA","Kidney Renal Tract;Brain/Cognition"
"540","WDR45","Brain/Cognition"
"541","TECPR2","Brain/Cognition"
"542","NEU1","Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye"
"543","QARS1","Brain/Cognition"
"544","CDH3","Skin;Skeleton;Eye: Retina;Hair/Nails;Eye;Teeth and Dentition"
"545","PAX3","Face;GI tract;Ear,Unknown"
"546","SNRPB","Face;Skeleton;Brain/Cognition"
"547","CTSA","Skeleton;Endocrine/Metabolic"
"548","GON4L","Brain/Cognition"
"549","BMPER","Skeleton"
"550","SLC19A3","Endocrine/Metabolic;Brain/Cognition"
"551","SOX17","Kidney Renal Tract"
"552","GRIN2B","Brain/Cognition,Brain/Cognition"
"553","AGK","Musculature;Respiratory tract;Eye: Lens;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"554","ARHGEF6","Brain/Cognition"
"555","BCL11A","Brain/Cognition"
"556","GNAS","Skeleton;Endocrine/Metabolic;Brain/Cognition,Skeleton;Endocrine/Metabolic;Brain/Cognition,Skeleton;GI tract;Eye;Cancer predisposition;Skin;Face;Endocrine/Metabolic;Brain/Cognition;Ear"
"557","GNS","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"558","DYNC2I1","Skeleton;Brain/Cognition"
"559","CRYBB1","Eye,Eye"
"560","SLC6A8","Face;Skeleton;Brain/Cognition"
"561","MTF1","Brain/Cognition"
"562","LMNA","Musculature;Heart/Cardiovasculature/Lymphatic,Musculature;Heart/Cardiovasculature/Lymphatic,Musculature;Heart/Cardiovasculature/Lymphatic,Musculature;Heart/Cardiovasculature/Lymphatic"
"563","ALDH5A1","Endocrine/Metabolic;Brain/Cognition"
"564","COL4A1","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"565","POMT1","Musculature;Brain/Cognition"
"566","NRXN3","Brain/Cognition"
"567","CFAP418","Skeleton;Eye: Retina;Eye: Physiology;Eye;Kidney Renal Tract;Liver;Endocrine/Metabolic;Brain/Cognition;Teeth and Dentition;Genitalia"
"568","CAV1","Skin"
"569","SLC39A13","Skin;Skeleton,Skin;Skeleton"
"570","CEP63","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"571","BICD2","Spinal cord/Peripheral nerves"
"572","KRT74","Skin"
"573","B4GALT7","Skeleton"
"574","EEF1B2","Brain/Cognition"
"575","RUBCN","Brain/Cognition"
"576","DHFR","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"577","HARS1","Eye;Ear"
"578","CA2","Kidney Renal Tract;Skeleton;Brain/Cognition"
"579","GCSH","Endocrine/Metabolic;Brain/Cognition"
"580","CHUK","Skin;Face"
"581","HSF4","Eye"
"582","RAD51","Brain/Cognition"
"583","GALC","Brain/Cognition"
"584","RNASEH2B","Skin;Brain/Cognition"
"585","ACOX1","Endocrine/Metabolic;Brain/Cognition;GI tract;Respiratory tract"
"586","CACNA1A","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"587","CDH15","Brain/Cognition"
"588","MIR17HG","Skeleton;Brain/Cognition"
"589","DHCR24","Face;Skeleton;Endocrine/Metabolic;Brain/Cognition"
"590","ZBTB16","Skeleton;Brain/Cognition;Genitalia"
"591","GFAP","Brain/Cognition"
"592","MAP2K1","Skin;Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"593","SLC25A22","Brain/Cognition"
"594","NRXN1","Brain/Cognition,Brain/Cognition"
"595","JAG1","GI tract;Heart/Cardiovasculature/Lymphatic"
"596","SOX3","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"597","TIMM8A","Musculature;Brain/Cognition;Ear"
"598","SCARF2","Skin;Skeleton"
"599","DCAF17","Skin;Endocrine/Metabolic;Brain/Cognition"
"600","MTRR","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"601","RALGDS","Brain/Cognition"
"602","LAMA2","Musculature;Brain/Cognition"
"603","PLP1","Brain/Cognition,Brain/Cognition"
"604","PTS","Endocrine/Metabolic;Brain/Cognition"
"605","COL10A1","Skeleton"
"606","FBN2","Skeleton;Ear"
"607","AAAS","Face;Endocrine/Metabolic;Eye"
"608","KLF8","Brain/Cognition"
"609","BPNT2","Skeleton"
"610","USP9X","Skeleton;GI tract;Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Brain/Cognition"
"611","DNAAF3","Respiratory tract;Genitalia"
"612","SLC6A17","Brain/Cognition"
"613","DNMT3B","Bone Marrow/Immune;Brain/Cognition"
"614","SMC3","Skeleton;Brain/Cognition"
"615","SMOC1","Face;Skeleton;Brain/Cognition;Eye"
"616","SLC2A2","Kidney Renal Tract;Skeleton;Endocrine/Metabolic;GI tract"
"617","DNA2","Endocrine/Metabolic;Brain/Cognition"
"618","CTNS","Kidney Renal Tract"
"619","ZNF526","Brain/Cognition"
"620","CCBE1","Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"621","DYNC2H1","Kidney Renal Tract;Skeleton;GI tract"
"622","RNU4ATAC","Skeleton;Heart/Cardiovasculature/Lymphatic"
"623","POGZ","Brain/Cognition"
"624","CD151","Bone Marrow/Immune;Skin;Kidney Renal Tract;Eye;Hair/Nails;Ear"
"625","ACADS","Endocrine/Metabolic"
"626","ADSL","Endocrine/Metabolic;Brain/Cognition"
"627","COG1","Endocrine/Metabolic;Brain/Cognition"
"628","ELOVL4","Skin;Brain/Cognition;Eye"
"629","NDST1","Brain/Cognition"
"630","FMN2","Brain/Cognition"
"631","TUBB","Brain/Cognition,Skin;Skeleton;Face;Brain/Cognition"
"632","RET","Kidney Renal Tract;Endocrine/Metabolic;Cancer predisposition"
"633","ZC4H2","Musculature;Skeleton;Brain/Cognition,Musculature;Skeleton;Brain/Cognition"
"634","CLN6","Eye: Retina;Brain/Cognition,Brain/Cognition"
"635","SHANK3","Brain/Cognition"
"636","PDHA1","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"637","CLDN19","Endocrine/Metabolic;Eye"
"638","ALS2","Spinal cord/Peripheral nerves;Brain/Cognition"
"639","SHH","Face;Brain/Cognition;Eye;Teeth and Dentition,Face;Brain/Cognition;Eye;Teeth and Dentition,Face;Brain/Cognition;Eye;Teeth and Dentition"
"640","ADRA2B","Brain/Cognition"
"641","BOLA3","Endocrine/Metabolic;Brain/Cognition"
"642","TCF12","Face;Skeleton"
"643","TAT","Skin;Endocrine/Metabolic;Eye;Brain/Cognition"
"644","TTC19","Endocrine/Metabolic;Brain/Cognition"
"645","PURA","Brain/Cognition"
"646","SLC12A5","Brain/Cognition"
"647","MNX1","Skeleton;Spinal cord/Peripheral nerves;GI tract"
"648","ADA","Bone Marrow/Immune"
"649","AASS","Endocrine/Metabolic;Eye: Lens;Brain/Cognition"
"650","TFAP2A","Skin;Face;Eye"
"651","TBXAS1","Bone Marrow/Immune;Skeleton"
"652","LHX4","Endocrine/Metabolic"
"653","EDA","Skin;Teeth and Dentition,Skin;Teeth and Dentition"
"654","MED23","Brain/Cognition"
"655","COL11A1","Skeleton;Eye;Ear,Eye: Retina;Skeleton;Eye: Physiology;Eye;Skin;Eye: Vitreous;Face;Ear"
"656","SLC22A5","Endocrine/Metabolic;Brain/Cognition"
"657","KCNJ11","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"658","PSPH","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"659","UBE2A","Brain/Cognition"
"660","FZD6","Skin"
"661","CEP135","Brain/Cognition"
"662","FGF3","Ear;Teeth and Dentition"
"663","CRPPA","Brain/Cognition;Eye"
"664","CCNQ","Kidney Renal Tract;Face;Skeleton"
"665","WRAP53","Bone Marrow/Immune;Skin"
"666","MAP3K1","Genitalia"
"667","KRAS","Skin;Face;Brain/Cognition,Skin;Face;Brain/Cognition"
"668","CACNB4","Brain/Cognition"
"669","TBX5","Skeleton;Heart/Cardiovasculature/Lymphatic"
"670","MITF","Skin;Ear,Skin;Ear,Unknown"
"671","COL9A2","Eye: Vitreous;Eye: Retina;Face;Skeleton;Eye: Physiology;Eye;Ear,Face;Skeleton;Eye;Ear"
"672","PEX3","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition"
"673","LRBA","Bone Marrow/Immune"
"674","KIF5C","Brain/Cognition"
"675","EXOSC3","Spinal cord/Peripheral nerves;Brain/Cognition"
"676","FANCD2","Bone Marrow/Immune;Skeleton"
"677","AUH","Endocrine/Metabolic;Brain/Cognition"
"678","EXT1","Skin;Face;Skeleton"
"679","DBT","Endocrine/Metabolic;Brain/Cognition"
"680","BCKDHA","Endocrine/Metabolic;Brain/Cognition"
"681","SLC35A1","Endocrine/Metabolic;Brain/Cognition"
"682","QDPR","Endocrine/Metabolic;Brain/Cognition"
"683","KMT2D","Kidney Renal Tract;Face;Skeleton;Brain/Cognition,Unknown"
"684","HINT1","Musculature;Spinal cord/Peripheral nerves"
"685","UBR1","Face;Skeleton;Endocrine/Metabolic;Brain/Cognition"
"686","AIRE","Bone Marrow/Immune;GI tract;Eye;Skin;Endocrine/Metabolic;Hair/Nails;Teeth and Dentition;Genitalia"
"687","CRYGD","Eye"
"688","ALG6","Endocrine/Metabolic;Brain/Cognition"
"689","YY1","Brain/Cognition"
"690","SLC17A5","Endocrine/Metabolic;Brain/Cognition"
"691","ARID1A","Skin;Skeleton;Brain/Cognition"
"692","MED12","Skeleton;Eye;GI tract;Skin;Brain/Cognition;Hair/Nails;Teeth and Dentition;Genitalia;Ear,Skeleton;Brain/Cognition;GI tract;Genitalia,Unknown"
"693","ACBD6","Brain/Cognition"
"694","SRY","Genitalia"
"695","CRYBA1","Eye"
"696","H3-4","Brain/Cognition"
"697","RAI1","Face;Skeleton;Brain/Cognition"
"698","CD96","Skeleton;Brain/Cognition"
"699","CSNK1G1","Brain/Cognition"
"700","TUBB3","Brain/Cognition;Eye"
"701","SETD5","Brain/Cognition"
"702","DDHD2","Brain/Cognition"
"703","ODAD3","GI tract;Respiratory tract"
"704","KCNJ6","Skin;Brain/Cognition"
"705","TUBGCP4","Brain/Cognition;Eye"
"706","TP63","Skin;Face;Skeleton,Skin;Face;Skeleton"
"707","MMP13","Skeleton,Skeleton"
"708","RPS19","Bone Marrow/Immune"
"709","GAA","Endocrine/Metabolic;Heart/Cardiovasculature/Lymphatic"
"710","KIRREL3","Brain/Cognition"
"711","CHRNA2","Brain/Cognition"
"712","PTH1R","Skeleton;Endocrine/Metabolic,Skeleton;Endocrine/Metabolic,Skeleton;Endocrine/Metabolic"
"713","PIK3R2","Brain/Cognition"
"714","KCTD1","Skin;Eye"
"715","ATOH7","Eye"
"716","GFER","Musculature;Ear"
"717","TBX20","Heart/Cardiovasculature/Lymphatic"
"718","TMEM165","Skeleton;Brain/Cognition;GI tract"
"719","HYCC1","Brain/Cognition;Eye"
"720","HNF1B","Skeleton;Endocrine/Metabolic"
"721","ELP2","Brain/Cognition"
"722","MOCS2","Endocrine/Metabolic;Brain/Cognition"
"723","HR","Skin;Hair/Nails,Skin;Hair/Nails"
"724","ANKRD26","Bone Marrow/Immune"
"725","ATRX","Face;Brain/Cognition;Genitalia"
"726","SLC12A6","Face;Spinal cord/Peripheral nerves;Brain/Cognition"
"727","SLC35A2","Endocrine/Metabolic;Brain/Cognition"
"728","ABCD1","Endocrine/Metabolic;Eye;Brain/Cognition"
"729","SMS","Face;Skeleton;Brain/Cognition"
"730","FTCD","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"731","KCNQ2","Musculature;Brain/Cognition,Musculature;Brain/Cognition"
"732","ASPA","Endocrine/Metabolic;Brain/Cognition;Eye"
"733","ZNF750","Skin"
"734","EP300","Face;Skeleton;Brain/Cognition"
"735","UPF3B","Skeleton;Brain/Cognition"
"736","SAMHD1","Skin;Brain/Cognition"
"737","ASL","Endocrine/Metabolic"
"738","STX1B","Brain/Cognition"
"739","SLC26A2","Skeleton,Skeleton"
"740","GABRA1","Brain/Cognition,Brain/Cognition"
"741","MYH8","Skin;Skeleton;Cancer predisposition,Skin;Skeleton;Cancer predisposition"
"742","SIX5","Skin;Face;Eye"
"743","COQ9","Endocrine/Metabolic"
"744","SLC9A6","Brain/Cognition"
"745","BRCA2","Bone Marrow/Immune;Skeleton;Cancer predisposition"
"746","MICU1","Musculature;Endocrine/Metabolic;Brain/Cognition"
"747","NDUFS1","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"748","AARS1","Brain/Cognition"
"749","EPG5","Musculature;Skin;Brain/Cognition;Eye"
"750","ADK","Brain/Cognition"
"751","LRP4","Skeleton"
"752","SIX1","Kidney Renal Tract;Ear,Skeleton"
"753","SETBP1","Face;Skeleton;Brain/Cognition,Face;Skeleton;Brain/Cognition"
"754","PNPLA2","Musculature;Endocrine/Metabolic"
"755","AP4B1","Brain/Cognition"
"756","CLP1","Brain/Cognition"
"757","HOXB1","Face"
"758","MAGI2","Brain/Cognition"
"759","ETFA","Endocrine/Metabolic;Brain/Cognition"
"760","CHMP1A","Brain/Cognition"
"761","COQ5","Brain/Cognition"
"762","NECTIN1","Skin;Face"
"763","NOTCH1","Heart/Cardiovasculature/Lymphatic"
"764","CBS","Bone Marrow/Immune;Skeleton;Eye;Skin;Endocrine/Metabolic;Brain/Cognition;Hair/Nails;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"765","PNPLA1","Skin"
"766","PEX12","Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye;GI tract;Ear"
"767","PIGA","Brain/Cognition"
"768","NIPBL","Bone Marrow/Immune;Skeleton;GI tract;Face;Brain/Cognition;Ear;Genitalia;Heart/Cardiovasculature/Lymphatic"
"769","KCNQ1","Ear;Heart/Cardiovasculature/Lymphatic"
"770","BRAF","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"771","PCARE","Eye: Retina;Eye"
"772","KCNK9","Face;Brain/Cognition"
"773","WNT1","Skeleton"
"774","SIK1","Brain/Cognition"
"775","CA8","Brain/Cognition"
"776","ELAC2","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"777","PTPN11","Skeleton;Ear;Heart/Cardiovasculature/Lymphatic,Skeleton;Ear;Heart/Cardiovasculature/Lymphatic"
"778","TWIST1","Skeleton;Brain/Cognition"
"779","EOGT","Skin;Skeleton"
"780","SYNE1","Brain/Cognition"
"781","GUCY2C","GI tract,GI tract"
"782","OBSL1","Skeleton;Brain/Cognition"
"783","SMARCA2","Skin;Skeleton;Brain/Cognition"
"784","RARB","Brain/Cognition;Eye;Respiratory tract,Respiratory tract;Brain/Cognition;Eye"
"785","MMAB","Endocrine/Metabolic;Brain/Cognition"
"786","RAB39B","Brain/Cognition"
"787","AXIN1","Skeleton"
"788","MTHFR","Endocrine/Metabolic;Brain/Cognition"
"789","LARS2","Ear;Genitalia"
"790","HMGCL","Endocrine/Metabolic;Brain/Cognition"
"791","ALDOA","Musculature;Endocrine/Metabolic"
"792","NAGLU","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"793","WDR73","Kidney Renal Tract;Brain/Cognition"
"794","PDHX","Endocrine/Metabolic"
"795","PITX3","Eye"
"796","NOTCH2","Kidney Renal Tract;Skeleton"
"797","TNFRSF13B","Bone Marrow/Immune"
"798","PAX6","Brain/Cognition;Eye,Brain/Cognition;Eye"
"799","ARSB","Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"800","PCGF2","Brain/Cognition,Skeleton;Brain/Cognition"
"801","RMND1","Endocrine/Metabolic;Brain/Cognition"
"802","ANO5","Musculature;Skeleton,Musculature;Skeleton"
"803","NHS","Eye;Teeth and Dentition"
"804","COX7B","Skin;Eye"
"805","PEPD","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"806","NGLY1","Endocrine/Metabolic;Brain/Cognition"
"807","SC5D","Kidney Renal Tract;Skeleton;Endocrine/Metabolic;Eye: Lens;Brain/Cognition;GI tract;Ear"
"808","ECEL1","Skeleton"
"809","ALMS1","Eye: Retina;Endocrine/Metabolic;Brain/Cognition;Eye;Heart/Cardiovasculature/Lymphatic"
"810","GATAD2B","Brain/Cognition"
"811","ODAD2","Respiratory tract"
"812","RYR1","Musculature"
"813","FGF10","Skeleton;Eye;Teeth and Dentition"
"814","KCNT1","Brain/Cognition,Brain/Cognition"
"815","ABHD5","Bone Marrow/Immune;Musculature;Skin;Eye"
"816","MATN3","Skeleton"
"817","FAR1","Endocrine/Metabolic;Brain/Cognition;Eye"
"818","NDUFS7","Endocrine/Metabolic;Brain/Cognition"
"819","GMPPB","Musculature"
"820","CYC1","Endocrine/Metabolic;Brain/Cognition"
"821","P4HB","Face;Skeleton;Brain/Cognition;Eye"
"822","ANKH","Skeleton;Brain/Cognition;Ear,Skeleton;Brain/Cognition;Ear"
"823","PEX6","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;GI tract"
"824","WDR45B","Brain/Cognition"
"825","ACO2","Eye: Retina;Endocrine/Metabolic;Brain/Cognition;Eye;Eye: Optic nerve"
"826","GNPTG","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"827","TTC7A","Bone Marrow/Immune;GI tract"
"828","RGS7","Brain/Cognition"
"829","PGK1","Bone Marrow/Immune;Musculature;Endocrine/Metabolic;Brain/Cognition"
"830","CLCNKA","Kidney Renal Tract;Endocrine/Metabolic"
"831","FANCA","Bone Marrow/Immune;Skeleton"
"832","LEFTY2","GI tract;Heart/Cardiovasculature/Lymphatic"
"833","FAM20A","Teeth and Dentition"
"834","ACY1","Endocrine/Metabolic;Brain/Cognition"
"835","PROP1","Endocrine/Metabolic"
"836","GTPBP3","Musculature;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"837","PTCHD1","Brain/Cognition"
"838","ITGA3","Skin;Kidney Renal Tract;Respiratory tract"
"839","DDR2","Skeleton"
"840","MYO5B","GI tract"
"841","ZBTB40","Brain/Cognition"
"842","SLC16A2","Endocrine/Metabolic;Brain/Cognition"
"843","BHLHA9","Skeleton,Unknown"
"844","HSD17B4","Brain/Cognition;Ear;Genitalia"
"845","ZMYND10","Respiratory tract"
"846","KCNH5","Brain/Cognition"
"847","ASXL3","Face;Brain/Cognition"
"848","KCTD7","Brain/Cognition,Brain/Cognition"
"849","DAG1","Musculature;Brain/Cognition"
"850","ABCB7","Bone Marrow/Immune;Brain/Cognition"
"851","CTC1","Eye: Retina;Eye: Vasculature;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"852","GDF3","Skeleton;Eye"
"853","CLMP","GI tract"
"854","FAH","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;GI tract"
"855","CEP290","Liver;Kidney Renal Tract;Skeleton;Eye: Retina;Brain/Cognition;Genitalia;Heart/Cardiovasculature/Lymphatic"
"856","SMC1A","Skeleton;Brain/Cognition;GI tract;Genitalia,Brain/Cognition"
"857","CENPJ","Face;Skeleton;Brain/Cognition"
"858","CHST14","Skin;Skeleton;Eye: Retina;Eye: Physiology;Eye: Structure;Eye: Lens;Eye"
"859","CRYBB3","Eye"
"860","IHH","Skeleton,Skeleton"
"861","CDON","Brain/Cognition"
"862","GBA1","Bone Marrow/Immune;Skeleton;Endocrine/Metabolic"
"863","FUCA1","Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"864","CACNA1C","Skeleton;Heart/Cardiovasculature/Lymphatic"
"865","TRIP11","Skeleton"
"866","HOXD13","Skeleton"
"867","COL4A3","Eye: Cornea;Kidney Renal Tract;Eye: Physiology;Eye: Lens;Eye;Ear,Eye: Cornea;Kidney Renal Tract;Eye: Physiology;Eye: Lens;Eye;Ear"
